listing,address,city,neighbourhood,beds,baths,property_type,unit_type,sold_date,sell_price,ask_price_final,ask_price_orig,sqft,age,property_tax,ownership_type,maintenance_fee,rules,zoning
R2448712,# 3204 4900 LENNOX LANE,Burnaby,Metrotown,1,1,Apartment,Upper Unit,2020-06-10,530500,538000,549000,503,3,2349.84,Freehold Strata,160.51,"Pets Allowed, Rentals Allowed",CD
R2450425,# 3904 4900 LENNOX LANE,Burnaby,Metrotown,1,1,Apartment,Upper Unit,2020-05-03,541000,548000,548000,503,3,2372.56,Freehold Strata,,No Restrictions,CD
R2441150,# 1607 4900 LENNOX LANE,Burnaby,Metrotown,1,1,Apartment,"5 Plus Level, Other",2020-03-09,546000,549900,549900,512,3,2236.2,Freehold Strata,163.92,"Pets Allowed, Rentals Allowed",STRATA
R2453791,# 701 6588 NELSON AVENUE,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-05-24,588000,599900,599900,611,5,2281.64,Freehold Strata,216.27,"Pets Allowed, Rentals Allowed",CD
R2466106,# 2103 6588 NELSON AVENUE,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-06-23,540000,583000,583000,540,5,2290.18,Freehold Strata,193.1,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2435713,# 3603 6588 NELSON AVENUE,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-02-18,562388,578000,578000,540,5,2369.73,Freehold Strata,193.1,No Restrictions,APT
R2435720,# 3003 6588 NELSON AVENUE,Burnaby,Metrotown,1,1,Apartment,"1 Storey, Upper Unit",2020-02-22,575000,618000,618000,540,5,2344.16,Freehold Strata,193.1,"Pets Allowed with Restrictions, Rentals Allowed",CD
R2443753,# 1707 6070 MCMURRAY AVENUE,Burnaby,Forest Glen BS,2,2,Apartment,Other,2020-05-21,600000,625000,650000,1070,33,2559.0,Freehold Strata,450.0,"Pets Not Allowed, Rentals Not Allowed",RM
R2426537,# 604 6055 NELSON AVENUE,Burnaby,Forest Glen BS,1,1,Apartment,1 Storey,2020-01-09,470000,478000,478000,816,32,2029.69,Freehold Strata,300.0,"Pets Not Allowed, Rentals Not Allowed",CD RMS
R2463447,# 911 4670 ASSEMBLY WAY,Burnaby,Metrotown,1,1,Apartment,1 Storey,2020-06-10,576000,599000,599000,588,2,2267.14,Freehold Strata,234.04,"Pets Allowed with Restrictions, Rentals Allowed",MULTI
R2424786,# 1003 4670 ASSEMBLY WAY,Burnaby,Metrotown,1,1,Apartment,1 Storey,2019-12-25,503000,488800,488800,513,2,2108.04,Freehold Strata,200.0,"Pets Allowed with Restrictions, Rentals Allowed",CD1
R2434889,# 1503 4657 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,"Corner Unit, Upper Unit",2020-03-26,531500,549900,549900,769,27,2351.37,Freehold Strata,226.54,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM-5
R2432175,# 404 4657 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,1 Storey,2020-03-30,423000,449000,480000,686,27,2081.47,Freehold Strata,195.92,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2402094,# 605 4689 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,Inside Unit,2020-01-26,471000,499900,519000,700,26,2092.83,Freehold Strata,197.13,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",CD
R2441875,# 503 4657 HAZEL STREET,Burnaby,Forest Glen BS,1,1,Apartment,Corner Unit,2020-05-11,480000,519999,489999,769,27,1446.83,Freehold Strata,226.54,"Pets Allowed with Restrictions, Rentals Allowed with Restrictions",RM-5
